公示批次链接,名称缩减
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0158aa2d2bec1892402881a658a9ac9f&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年11月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0158517cf94e395e402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年10月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01582eade50373f5402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年10月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0157fb5c48181629402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年09月（下旬）10月（上旬）全国电影剧本...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0157a896d1dc1efc402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年09月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015774e863932906402881a7531722c5&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年09月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01570d0a0d533f92402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年08月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0156e8ae633b65ff402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年08月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0156b1da856c7e9c402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年08月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015669295b015c83402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年07月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0156590e02e73fcf402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年07月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015610ed3a330031402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年07月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0155fd84f8bf1cb5402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年06月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0155ba0118b2349e402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年06月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0155b41456fa73ce402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年06月（上旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015571be88f66376402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年05月（下旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=015504fa7f126ae3402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年05月（中旬）全国电影剧本（梗概）备案、...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0154dccc94c60855402881a65139fdb6&templateId=0129f8148f650065402881cd29f7df33,国家新闻出版广电总局电影局关于2016年05月（上旬）全国电影剧本（梗概）备案、...
